buckfast 1.3.2                                                                                      ,

*HEADING,
Buckfast example - Pipeline A - Scenario 1                                                          ,

*SIMULATION,
number of simulations,              100000,

*WATER,
temperature of sea-water (°C),        4.0000000000,,
density of sea-water (kg.m-3),     1025.0000000000,,

*AXIALFRICTION,                   1,,
distribution,LOGNORMAL           ,,
mean,        0.5170000000,,
standard deviation,        0.1370000000,,

*SINGLE,                   1,,
diameter (mm),      273.1000000000,,
wall thickness (mm),       25.4000000000,,
density of steel (kg.m-3),     7850.0000000000,,
elastic modulus (N.mm-2),   207000.0000000000,,
Poisson's ratio,        0.3000000000,,
coefficient of thermal expansion (°C-1),        0.0000117000,,
thickness of coating (mm),      300.0000000000,                   1,
density of coating (kg.m-3),      990.5815642546,                   1,
density of contents during operation (kg.m-3),      799.9858676179,,
density of contents during installation (kg.m-3),        1.3136056940,,

length of pipeline (m),    20000.0000000000,,



number of simulations,              100000,
number of simulations with one or more buckles,              100000,
probability of one or more buckles,    0.1000000000E+01,
                    ,
                    ,mean,standard deviation,minimum,maximum,
number of buckles,    0.7195110000E+01,    0.1829781978E+01,                   2,                  19,

element,centroid of element,number of simulations with a buckle,probability of buckling,probability of not buckling,mean of the VAS,standard deviation of the VAS,minimum VAS,maximum VAS,
,(m),,,,(m),(m),(m),(m),
 -3380000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3400000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3420000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3440000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3460000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3480000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3500000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3520000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3540000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3560000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3580000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3600000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3620000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3640000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3660000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3680000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3700000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3720000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3740000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3760000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3780000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3800000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3820000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3840000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3860000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3880000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3900000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3920000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3940000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3960000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -3980000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
 -4000000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,

critical buckling force,probability,
N,,
        0.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
   -20000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
   -40000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
   -60000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
   -80000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
  -100000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
  -120000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
  -140000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
  -160000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
  -180000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
  -200000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
  -220000.0000000000,    0.5205622072E-03,    0.0000000000E+00,    0.0000000000E+00,    0.2450079628E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2455855989E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
  -240000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2468465355E-04,    0.2456640299E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.4906169508E-04,    0.0000000000E+00,    0.2456459260E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2333831217E-04,    0.0000000000E+00,    0.0000000000E+00,
  -260000.0000000000,    0.1041124414E-02,    0.3361005613E-04,    0.2346922012E-04,    0.0000000000E+00,    0.4936930710E-04,    0.2456640299E-04,    0.2464997042E-04,    0.4917629702E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.4919444103E-04,    0.0000000000E+00,    0.0000000000E+00,    0.2468099810E-04,    0.1227927994E-03,    0.2333831217E-04,    0.6691872721E-04,    0.0000000000E+00,
  -280000.0000000000,    0.5205622072E-03,    0.1008301684E-03,    0.0000000000E+00,    0.7350238883E-04,    0.9873861420E-04,    0.4913280597E-04,    0.0000000000E+00,    0.4917629702E-04,    0.7368110816E-04,    0.0000000000E+00,    0.4937174455E-04,    0.4912918519E-04,    0.7379166154E-04,    0.2463721698E-04,    0.2444509631E-04,    0.9872399240E-04,    0.9823423954E-04,    0.4667662435E-04,    0.3345936360E-04,    0.0000000000E+00,
  -300000.0000000000,    0.2602811036E-02,    0.1344402245E-03,    0.9387688047E-04,    0.1960063702E-03,    0.9873861420E-04,    0.1473984179E-03,    0.9859988168E-04,    0.1475288911E-03,    0.1473622163E-03,    0.9812339016E-04,    0.1974869782E-03,    0.1965167408E-03,    0.1229861026E-03,    0.1478233019E-03,    0.4889019263E-04,    0.1727669867E-03,    0.7367567966E-04,    0.2100448096E-03,    0.2342155452E-03,    0.0000000000E+00,
  -320000.0000000000,    0.4685059865E-02,    0.5041508419E-03,    0.1408153207E-03,    0.1960063702E-03,    0.2715311891E-03,    0.1719648209E-03,    0.3450995859E-03,    0.2704696336E-03,    0.3929659102E-03,    0.4415552557E-03,    0.2962304673E-03,    0.2947751112E-03,    0.1967777641E-03,    0.3202838207E-03,    0.2933411558E-03,    0.2221289829E-03,    0.3929369582E-03,    0.1400298730E-03,    0.2342155452E-03,    0.2663825253E-02,
  -340000.0000000000,    0.6767308693E-02,    0.9074715155E-03,    0.5632612828E-03,    0.4900159255E-03,    0.3209004962E-03,    0.3193632388E-03,    0.5422993492E-03,    0.3934103762E-03,    0.6631299735E-03,    0.3924935607E-03,    0.3456022119E-03,    0.4667272593E-03,    0.4919444103E-03,    0.6405676415E-03,    0.4155666373E-03,    0.6417059506E-03,    0.5648468774E-03,    0.4200896191E-03,    0.4349717268E-03,    0.7458710709E-02,
  -360000.0000000000,    0.7808433108E-02,    0.9410815716E-03,    0.1009176465E-02,    0.1029033444E-02,    0.9380168349E-03,    0.9580897165E-03,    0.5915992901E-03,    0.9589377920E-03,    0.6140092347E-03,    0.9567030541E-03,    0.8146337851E-03,    0.9825837038E-03,    0.6887221744E-03,    0.7637537264E-03,    0.8555783710E-03,    0.7404299430E-03,    0.9086667158E-03,    0.1096900672E-02,    0.9703215445E-03,    0.1065530101E-01,
  -380000.0000000000,    0.1405517959E-01,    0.2016603368E-02,    0.1408153207E-02,    0.1176038221E-02,    0.1332971292E-02,    0.1277452955E-02,    0.1799447841E-02,    0.1180231129E-02,    0.1178897731E-02,    0.1177480682E-02,    0.1407094720E-02,    0.1596698519E-02,    0.1623416554E-02,    0.1281135283E-02,    0.1540041068E-02,    0.1382135894E-02,    0.1498072153E-02,    0.1610343540E-02,    0.1773346271E-02,    0.1331912627E-01,
  -400000.0000000000,    0.1561686622E-01,    0.3495445837E-02,    0.2112229811E-02,    0.2303074850E-02,    0.2419096048E-02,    0.1867046627E-02,    0.1799447841E-02,    0.2188345218E-02,    0.1620984380E-02,    0.1668097633E-02,    0.1999555654E-02,    0.1965167408E-02,    0.1820194318E-02,    0.2562270566E-02,    0.1857827320E-02,    0.1999160846E-02,    0.2161153270E-02,    0.1867064974E-02,    0.3212098906E-02,    0.1758124667E-01,
  -420000.0000000000,    0.3227485685E-01,    0.4705407858E-02,    0.2534675773E-02,    0.3381109886E-02,    0.3431166844E-02,    0.2726870732E-02,    0.3253796095E-02,    0.2483403000E-02,    0.2824442480E-02,    0.2771985772E-02,    0.2740131823E-02,    0.3119703260E-02,    0.3369819210E-02,    0.3350661509E-02,    0.2860076269E-02,    0.2542142804E-02,    0.3315405585E-02,    0.3617438387E-02,    0.4851607722E-02,    0.2397442728E-01,
  -440000.0000000000,    0.2967204581E-01,    0.6688401170E-02,    0.4435682602E-02,    0.4679652089E-02,    0.5035669324E-02,    0.4544784553E-02,    0.4190494971E-02,    0.4573395623E-02,    0.4273504274E-02,    0.4268367472E-02,    0.4517514626E-02,    0.4495320445E-02,    0.4452096913E-02,    0.4483973490E-02,    0.4008995795E-02,    0.3948959696E-02,    0.4838036298E-02,    0.3850821509E-02,    0.6624953993E-02,    0.3196590304E-01,
  -460000.0000000000,    0.3123373243E-01,    0.8268073808E-02,    0.5374451407E-02,    0.6247703050E-02,    0.5973686159E-02,    0.6092467941E-02,    0.6359692368E-02,    0.6024096386E-02,    0.5575203851E-02,    0.6132711885E-02,    0.6023352835E-02,    0.6362229482E-02,    0.6739638421E-02,    0.6627411368E-02,    0.6624621101E-02,    0.5874077548E-02,    0.5673027334E-02,    0.5624533234E-02,    0.6892628902E-02,    0.4102290890E-01,
  -480000.0000000000,    0.3852160333E-01,    0.1092326824E-01,    0.7885657960E-02,    0.8232267549E-02,    0.8071881711E-02,    0.8671940255E-02,    0.8282390061E-02,    0.8630440128E-02,    0.7515473033E-02,    0.7800809518E-02,    0.7504505172E-02,    0.6828956742E-02,    0.8486041077E-02,    0.8130281603E-02,    0.8384668036E-02,    0.8811116322E-02,    0.8644613080E-02,    0.7584951456E-02,    0.1114196808E-01,    0.5753862547E-01,
  -500000.0000000000,    0.5413846955E-01,    0.1398178335E-01,    0.9223403506E-02,    0.1004532647E-01,    0.1100935548E-01,    0.1103031494E-01,    0.1000788799E-01,    0.1000737644E-01,    0.1119952844E-01,    0.1005764749E-01,    0.1026932287E-01,    0.1117688963E-01,    0.1131472144E-01,    0.1052009165E-01,    0.1188031681E-01,    0.1061282918E-01,    0.1100223483E-01,    0.9218633308E-02,    0.1408639208E-01,    0.5380927011E-01,
  -520000.0000000000,    0.5049453410E-01,    0.1710751857E-01,    0.1255603276E-01,    0.1274041406E-01,    0.1167584113E-01,    0.1373261927E-01,    0.1390258332E-01,    0.1251536759E-01,    0.1372924649E-01,    0.1241260886E-01,    0.1283665358E-01,    0.1321575082E-01,    0.1279055467E-01,    0.1288526448E-01,    0.1244255402E-01,    0.1174815510E-01,    0.1308971242E-01,    0.1269604182E-01,    0.1739886907E-01,    0.5594033031E-01,
  -540000.0000000000,    0.6090577824E-01,    0.1956105267E-01,    0.1671008472E-01,    0.1587651599E-01,    0.1703241095E-01,    0.1564879870E-01,    0.1629363045E-01,    0.1598229653E-01,    0.1648000786E-01,    0.1587145836E-01,    0.1678639315E-01,    0.1486157852E-01,    0.1751322101E-01,    0.1608810269E-01,    0.1552263616E-01,    0.1678307871E-01,    0.1488248729E-01,    0.1472647498E-01,    0.1974102453E-01,    0.5860415557E-01,
  -560000.0000000000,    0.5049453410E-01,    0.2480422142E-01,    0.1910394518E-01,    0.1938012985E-01,    0.1836538224E-01,    0.1918636073E-01,    0.2119897456E-01,    0.1839193509E-01,    0.1881324295E-01,    0.1910953023E-01,    0.2004492829E-01,    0.1834975067E-01,    0.1847251261E-01,    0.1938948976E-01,    0.1972719273E-01,    0.1843670558E-01,    0.1886097399E-01,    0.1792382375E-01,    0.2750359688E-01,    0.5700586042E-01,
  -580000.0000000000,    0.5882352941E-01,    0.2893825833E-01,    0.2318758948E-01,    0.2202621585E-01,    0.2266051196E-01,    0.2262565715E-01,    0.2331887202E-01,    0.2338332924E-01,    0.2279202279E-01,    0.2310805838E-01,    0.2308129058E-01,    0.2215726252E-01,    0.2189152626E-01,    0.2301116066E-01,    0.2388285910E-01,    0.2129970136E-01,    0.2303592917E-01,    0.2259148618E-01,    0.2967845552E-01,    0.4688332445E-01,
  -600000.0000000000,    0.6142634045E-01,    0.3324034551E-01,    0.2443145814E-01,    0.2601984564E-01,    0.2490681543E-01,    0.2530339508E-01,    0.2583316900E-01,    0.2640767150E-01,    0.2615679340E-01,    0.2632159941E-01,    0.2619171048E-01,    0.2544891793E-01,    0.2735210921E-01,    0.2574589174E-01,    0.2728072749E-01,    0.2702569292E-01,    0.2625310052E-01,    0.2480862584E-01,    0.3242212333E-01,    0.5700586042E-01,
  -620000.0000000000,    0.6402915148E-01,    0.3522333882E-01,    0.2818653336E-01,    0.3131201764E-01,    0.2952284565E-01,    0.2891465632E-01,    0.2930881483E-01,    0.2859601672E-01,    0.2949700363E-01,    0.2951060959E-01,    0.2984521958E-01,    0.2913360682E-01,    0.2887713688E-01,    0.3000813028E-01,    0.2818519605E-01,    0.2875336279E-01,    0.2969129890E-01,    0.2844940254E-01,    0.3603573460E-01,    0.6020245072E-01,
  -640000.0000000000,    0.5726184279E-01,    0.4029845730E-01,    0.3147222418E-01,    0.3221854710E-01,    0.3228752684E-01,    0.3306637842E-01,    0.3337605995E-01,    0.3375952791E-01,    0.3281265350E-01,    0.3360726113E-01,    0.3302969710E-01,    0.3131985556E-01,    0.3227155331E-01,    0.3303850797E-01,    0.3378312311E-01,    0.3272700348E-01,    0.3168054225E-01,    0.3019977595E-01,    0.3881286178E-01,    0.4688332445E-01,
  -660000.0000000000,    0.4476834982E-01,    0.4154202938E-01,    0.3372526931E-01,    0.3435011638E-01,    0.3544716250E-01,    0.3503169066E-01,    0.3764050483E-01,    0.3653798869E-01,    0.3625110522E-01,    0.3495645775E-01,    0.3579451480E-01,    0.3655211378E-01,    0.3455909482E-01,    0.3569932740E-01,    0.3444314071E-01,    0.3637979120E-01,    0.3715710111E-01,    0.3461071695E-01,    0.4212533878E-01,    0.6712839638E-01,
  -680000.0000000000,    0.5726184279E-01,    0.4365946291E-01,    0.3668239104E-01,    0.3733921352E-01,    0.3882896004E-01,    0.3709526851E-01,    0.3870045356E-01,    0.3953774281E-01,    0.3973867767E-01,    0.3721329572E-01,    0.3850996075E-01,    0.3709253482E-01,    0.3709260854E-01,    0.3643844391E-01,    0.3683876014E-01,    0.3810746107E-01,    0.3782018222E-01,    0.3720126960E-01,    0.4219225750E-01,    0.4421949920E-01,
  -700000.0000000000,    0.3800104112E-01,    0.4517191544E-01,    0.3797319815E-01,    0.4177385765E-01,    0.4048283182E-01,    0.4097676018E-01,    0.3995760205E-01,    0.4015244652E-01,    0.4165438648E-01,    0.4079479946E-01,    0.3905304994E-01,    0.4097374045E-01,    0.4218423318E-01,    0.4045431028E-01,    0.4079886575E-01,    0.4178492978E-01,    0.4054618237E-01,    0.3717793129E-01,    0.4389868505E-01,    0.2876931273E-01,
  -720000.0000000000,    0.3331598126E-01,    0.4796155010E-01,    0.4186908869E-01,    0.4199436482E-01,    0.4137147935E-01,    0.4331056847E-01,    0.4101755078E-01,    0.4162773543E-01,    0.4192455055E-01,    0.4202134184E-01,    0.4139820781E-01,    0.4183350119E-01,    0.4183987209E-01,    0.4254847372E-01,    0.4211890095E-01,    0.4329047067E-01,    0.4194602029E-01,    0.4032860344E-01,    0.4570549068E-01,    0.3569525839E-01,
  -740000.0000000000,    0.2706923477E-01,    0.4520552549E-01,    0.3992114342E-01,    0.4157785128E-01,    0.4243291945E-01,    0.4304033803E-01,    0.4481364622E-01,    0.4393902139E-01,    0.4194911091E-01,    0.4420458727E-01,    0.4352119282E-01,    0.4335650593E-01,    0.4331570533E-01,    0.4313976693E-01,    0.4380561259E-01,    0.4390749562E-01,    0.4300203836E-01,    0.4114544436E-01,    0.4540435641E-01,    0.3409696324E-01,
  -760000.0000000000,    0.2863092140E-01,    0.4288643162E-01,    0.4121195053E-01,    0.4380742374E-01,    0.4507417738E-01,    0.4522674790E-01,    0.4338394794E-01,    0.4253749693E-01,    0.4290696532E-01,    0.4440083405E-01,    0.4566886371E-01,    0.4468299393E-01,    0.4607059402E-01,    0.4481509769E-01,    0.4321893028E-01,    0.4459856357E-01,    0.4364056092E-01,    0.4198562360E-01,    0.4704386523E-01,    0.2184336708E-01,
  -780000.0000000000,    0.2550754815E-01,    0.4550801600E-01,    0.4231500387E-01,    0.4525297072E-01,    0.4556787045E-01,    0.4323686926E-01,    0.4370439755E-01,    0.4482419474E-01,    0.4207191276E-01,    0.4538206795E-01,    0.4152163717E-01,    0.4456017097E-01,    0.4449637191E-01,    0.4412525561E-01,    0.4573677520E-01,    0.4380877163E-01,    0.4351776812E-01,    0.4191560866E-01,    0.4496938468E-01,    0.2290889718E-01,
  -800000.0000000000,    0.2186361270E-01,    0.4500386516E-01,    0.4177521181E-01,    0.4209236800E-01,    0.4453111501E-01,    0.4424409178E-01,    0.4244724906E-01,    0.4428325547E-01,    0.4489635524E-01,    0.4405740218E-01,    0.4211409810E-01,    0.4362671645E-01,    0.4380764974E-01,    0.4313976693E-01,    0.4290114403E-01,    0.4412962460E-01,    0.4420540779E-01,    0.4175224048E-01,    0.4155652959E-01,    0.2131060202E-01,
  -820000.0000000000,    0.1665799063E-01,    0.4086982825E-01,    0.4060175080E-01,    0.4086732819E-01,    0.4144553331E-01,    0.4313860365E-01,    0.4121475054E-01,    0.4293090730E-01,    0.4302976717E-01,    0.4143260150E-01,    0.4265718729E-01,    0.4094917586E-01,    0.4169228877E-01,    0.4013402646E-01,    0.4167888921E-01,    0.4225386875E-01,    0.4214248876E-01,    0.4133215086E-01,    0.4142269214E-01,    0.1545018647E-01,
  -840000.0000000000,    0.9370119729E-02,    0.3892044500E-01,    0.4001502030E-01,    0.4023030748E-01,    0.4087778628E-01,    0.4031346730E-01,    0.4000690199E-01,    0.3951315466E-01,    0.4030356617E-01,    0.4135900895E-01,    0.3957145326E-01,    0.4148959690E-01,    0.4112655270E-01,    0.4121806401E-01,    0.3918548939E-01,    0.4121726683E-01,    0.4076720941E-01,    0.4163554892E-01,    0.3730719042E-01,    0.9057005860E-02,
  -860000.0000000000,    0.8328995315E-02,    0.3586192989E-01,    0.4069562768E-01,    0.3956878599E-01,    0.4003850806E-01,    0.3842185427E-01,    0.4040130152E-01,    0.3734939759E-01,    0.3809313292E-01,    0.3846436894E-01,    0.3920116517E-01,    0.3935247734E-01,    0.4014266388E-01,    0.4010938924E-01,    0.3933215997E-01,    0.3847767604E-01,    0.3789385790E-01,    0.3953510082E-01,    0.3637032824E-01,    0.1118806606E-01,
